id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
934,FIE00145622,642.814,276.783,3.4,9,25.7,29.3,31.3,203.556,21.323,233.432
935,FIE00145627,649.283,253.506,3,14,26.7,28.3,30.7,20.513,21.977,24.334
936,FIE00146062,646.833,250.925,3,16,24.3,28.6,29.7,18.375,19.32,20.771
937,FIE00146162,65.995,292.258,3,11,25.4,27.8,28.9,20.027,21.176,23.72
938,FIE00146423,665.289,246.531,3.2,13.5,25.5,27,29.25,180.845,194.165,211.445
939,FIE00146698,679.681,236.803,3.8,9,23.3,28.6,30.7,177.268,20.122,22.211
940,FJ000091680,697.556,270.119,7.2,8,33.5,34.25,38.27,316.793,318.095,320.904
941,FMW00040308,-17.75,177.45,0.2,12,32.8,32.8,32.8,32.133,32.133,32.133
942,FMW00040504,94.833,1.380.833,0.4,4,32.2,32.75,33.3,32.138,32.169,32.2
943,FMW00040505,69.667,1.582.167,1,5,32.2,32.2,33.3,30.878,31.22,32.057
944,FP000091929,7.45,1.518.333,6,7.5,32.6,34.1,35.2,31.805,32.395,33.026
945,FR000007130,-16.45,-151.75,4.6,10,31.28,32.6,35.54,240.552,25.04,277.492
946,FR000007150,480.667,-17.331,1.6,61.5,24.59,25.895,33,23.733,244.255,255.706
